Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
1/10/2024,408 East 92nd Street,19B,4285.0,2696,1.6,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,32.0,196,2004.0,Yes,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.894091309706286
1/10/2024,408 East 92nd Street,22A,4295.0,2696,1.6,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,32.0,196,2004.0,Yes,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.8933543852571884
1/10/2024,408 East 92nd Street,25B,4315.0,2696,1.6,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,32.0,196,2004.0,Yes,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.8918669821020061
3/31/2024,214 Duffield Street,001-31A,4213.0,2696,1.6,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9120485120224716
3/31/2024,214 Duffield Street,001-39A,4269.0,2696,1.6,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9085003223373361
3/31/2024,214 Duffield Street,001-53X,4314.0,2696,1.6,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9055563565594161
3/31/2024,214 Duffield Street,001-40K,4780.0,2696,1.8,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.7960432575367207
1/10/2024,408 East 92nd Street,14C,4325.0,2696,1.6,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,32.0,196,2004.0,Yes,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.8911164653564841
3/31/2024,214 Duffield Street,001-38J,4794.0,2696,1.8,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.794274049037909
1/26/2024,180 Water Street,608,4149.0,2696,1.5,1,1.0,1.0,nan,nan,10038,$$$,Financial District,Lower Manhattan,Lower Manhattan,Metro Loft Management,29.0,574,2017.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Roof Deck,Swimming Pool,nan,nan,nan,nan,nan,0.9246570645809122
