Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,,,,,,,,,,,,,
5/5/2024,190 East 7th Street,310/1,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,310/2,2450,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,609/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,609/3,2600,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,B/3,2300,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,B/2,2300,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,615/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,310/3,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,609/1,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,217/1,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,505/1,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,413/3,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,119/3,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,119/2,2150,2624,0.8,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,201 West 136th Street,2W/4,1350,2624,0.5,Studio,1,,,,10030,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,9,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,201 West 136th Street,2E/4,1200,2624,0.5,Studio,1,,,,10030,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,9,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,201 West 136th Street,3E/3,1150,2624,0.4,Studio,1,,,,10030,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,9,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,201 West 136th Street,5W/3,1400,2624,0.5,Studio,1,,,,10030,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,9,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
