"Date active","Building address","Unit","Rent","Bed","Bath","Months Free","Owner Paid","Rent Stabilized","Zip Code","Building Price Range","Neighborhood","Parent Neighborhood","Neighborhood3","Property Manager","Number of Floors","Number of Units","Year Built","Active","Amenities"
"2024-01-10","210 East 25TH Street","5FE","4995","2","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","210 East 25TH Street","4RE","3695","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","210 East 25TH Street","4RW","3495","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-03-25","250 Ashland Place","28B","3889","0","1.0","","","","11217","$$$","Fort Greene","","","Gotham Properties","53","580","2016","Yes","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-03-25","250 Ashland Place","40M","4095","1","1.0","1.1","","","11217","$$$","Fort Greene","","","Gotham Properties","53","580","2016","Yes","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-03-25","250 Ashland Place","42K","4895","1","1.0","","","","11217","$$$","Fort Greene","","","Gotham Properties","53","580","2016","Yes","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-01-10","2100 Second Avenue","20","3650","3","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","6","40","1920","Yes","Management Company","","Walk up","","","","","","","","","","","","",""
"2024-01-10","2100 Second Avenue","28","3195","2","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","6","40","1920","Yes","Management Company","","Walk up","","","","","","","","","","","","",""
"2024-03-25","550 West 45th Street","216","3570","0","1.0","1.0","","","10036","$$$","Hell's Kitchen","Midtown","Midtown","Gotham Properties","32","554","2013","Yes","Courtyard","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","",""
"2024-01-10","212 East 105TH Street","22","3395","2","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","6","24","1925","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
